index,code,Name,Description,SegmentType,FirewallBlocking,Type
0,3005180,Premier League Opening Weekend,the Premier League kick off in August and the world of soccer as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
1,3005181,Ramadan,Islam and Ramadan as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
2,3005182,Rugby World Cup,the Rugby World Cup and the world of rugby as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
3,3005183,Seaside Vacations,summer and seaside vacations as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
4,3005184,Small Business Saturday,"shopping, and Small Business Saturday as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
5,3005185,South by Southwest (SXSW),"movies, music, technology, and computing and South by Southwest as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
6,3005186,Spring Break,"Spring break and Easter vacations, and positives feelings like joy, happiness, and amusement as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
7,3005187,Spring Fashion,"an audience interested in style and fashion, in getting in shape for summer, gossip and entertainment (television, pop music) and needlework lovers as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
8,3005188,Spring Getaway,"active and pleasure-seeking audience, especially couples, about travelling, and romantic getaways and spas as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
9,3005189,Super Bowl,"the Super Bowl including the stadium and competing teams, and with positive sentiments as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
10,3005190,Tax Day,income from tax returns and Tax Day as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
11,3005191,Thanksgiving,"Thanksgiving and relevant topics like family, shopping, and American cooking as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
12,3005192,The Ashes,the Ashes and the world of cricket as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
13,3005193,The Grammys,popular music and the Grammy Awards as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
14,3005194,The Open Championship,the Open Championship and the world of golf as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
15,3005195,The Oscars,"movies, television, and Academy Awards as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
16,3005196,Tour de France,The Tour de France and the world of cycling as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
17,3005197,UEFA Champions League Final,soccer and the UEFA Champions League Final as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
18,3005198,UEFA Europa League Final,the UEFA Europa League Final as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
19,3005199,US Open,tennis and in the US Open as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
20,3005200,Valentine's Day,"positive sentiments for Saint Valentine's Day, and family and marriage as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
21,3005201,The Vuelta a España,The Vuelta a España and the world of cycling as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
22,3005202,Wimbledon Grand Slam,the Wimbledon Championship and the world of tennis as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
23,3005203,Winter Apparel,"fashion and style, and it includes specific keywords for winter apparel as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
24,3005204,Winter Getaway Travel,"mountain vacations, winter sports, and mountain getaways. This segment excludes violent content, and travel and mountain accidents as rated by the IAS semantic intelligence engine.",Seasonal,FALSE,Positive
25,3005205,Winter Sports Equipment,mountain vacations and winter sports as rated by the IAS semantic intelligence engine.,Seasonal,FALSE,Positive
26,3006302,Diversity Inclusion,"support of diversity and inclusion related to topics including: religion, gender equality, civil rights, LGBTQ, ethnicity, workplace equality, and more as rated by the IAS semantic intelligence engine.",Topical,FALSE,Positive
27,3006362,Pollution,"pollution, including climate change and global warming as rated by the IAS semantic intelligence engine.",Topical,FALSE,Positive
28,3006363,Pollution - Positive Sentiment,"pollution, including climate change and global warming, when not associated with a negative sentiment or negative emotions as rated by the IAS semantic intelligence engine.",Topical,FALSE,Positive
29,3006364,Energy,"the power and energy industry, green solutions, gas prices, and home/business utilities when not associated with a negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
30,3006365,Energy - Oil,"the oil industry, gasoline prices, and petrochemistry when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
31,3006366,Energy - Coal,"the coal and the mining industry when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
32,3006367,Energy - Electricity,"electricity when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
33,3006368,Energy - Nuclear Energy,"nuclear energy when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
34,3006369,Energy - Green Energy,"green energy when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
35,3006370,Energy - Natural Gas,"natural gas when not associated with negative sentiment or negative emotions, as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
36,3006456,Olympics,the Olympics and Paralympics as rated by the IAS semantic intelligence engine. This segment avoids pages with negative content.,Seasonal,FALSE,Positive
37,3006594,Travel - North America,traveling to the USA & Canada as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
38,3006595,Travel - Central & South America,traveling to Central & South America as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
39,3006596,Travel - Europe,"traveling to Europe, including the UK as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
40,3006597,Travel - Asia,traveling to Asia as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
41,3006604,Automotive - Auto Shows,cars in the context of auto shows as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
42,3006605,Automotive - Auto Recalls,cars in the context of auto recalls as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
43,3006606,Automotive - Commercial Trucks,"cars in the context of commercial trucks, vans, and road cargo content as rated by the IAS semantic intelligence engine.",Vertical,FALSE,Positive
44,3006607,Automotive - Used Cars,cars in the context of used cars as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
45,3006608,Automotive - Auto Parts & Auto Repair,cars in the context of auto parts and auto repair as rated by the IAS semantic intelligence engine.,Vertical,FALSE,Positive
46,3006610,B2B,"executive leadership and management, consulting, business services (e.g. IT, cloud computing, and data storage and warehousing) and business accounting and finance as rated by the IAS semantic intelligence engine.",Topical,FALSE,Positive
47,3006616,Logistics & Transportation,the logistics & transportation industry as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.,Vertical,FALSE,Positive
48,3006617,Logistics & Transportation - Air Freight,air freight as rated by the IAS semantic intelligence engine. This segment avoids pages with negative content.,Vertical,FALSE,Positive
49,3006618,Logistics & Transportation - Cargo Ship,marine cargo as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.,Vertical,FALSE,Positive
50,3006619,Logistics & Transportation - Freight Train,freight trains as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.,Vertical,FALSE,Positive
51,3006620,Logistics & Transportation - Road Cargo,road cargo and commercial trucking as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.,Vertical,FALSE,Positive
52,3006622,Agriculture & Farming,"agriculture, farming, land and farms, and farmers as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.",Vertical,FALSE,Positive
53,3006623,Agriculture & Farming - Organic Farming,organic farming as rated by the IAS semantic intelligence engine. This segment avoids pages with negative content.,Vertical,FALSE,Positive
54,3006624,Agriculture & Farming - Livestock,"livestock, livestock farming, and animal breeding as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.",Vertical,FALSE,Positive
55,3006625,Agriculture & Farming - Chicken Owner,"chicken breeding and chicken owners, excluding content related to zoology as rated by the IAS semantic intelligence engine.  This segment avoids pages with negative content.",Vertical,FALSE,Positive
