index,code,Name,Description,SegmentType,FirewallBlocking
0,1507653,"Death, Injury or Military Conflict","death, injury or military conflict as rated by the IAS semantic intelligence engine.   Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic. **This segment will likely cause block rate to increase if buying across news sites.**",Topical,FALSE
1,1507654,Crime,"crime & harmful acts to individuals and society, including human rights violations, as rated by the IAS semantic intelligence engine.  Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.  **This segment will likely cause block rate to increase if buying across news sites.**",Topical,FALSE
2,1507655,Sexual Content,"sex, sexuality, pornography, and adult content as rated by the IAS semantic intelligence engine.  Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.",Topical,FALSE
3,1507657,Arms and Ammunition,"Exclude all content relating to weaponry as rated by the IAS semantic intelligence engine.  Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.",Topical,FALSE
4,1507658,Obscenities,"obscenities as rated by the IAS semantic intelligence engine.  Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.",Topical,FALSE
5,1507659,Online Piracy,"illegal downloads, illegal streaming, and copyright infringement as rated by the IAS semantic intelligence engine.   Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.",Topical,FALSE
6,1500176,Wellness & Healthy Living - Diet,"eating disorders, food allergies, alcoholism and negative news around healthy cooking and eating as rated by the IAS semantic intelligence engine.",Vertical,FALSE
7,1500693,Cyber Security,"negative news or sentiment around cyber security such as hacking, web privacy issues, and data leaks as rated by the IAS semantic intelligence engine.  Note: This segment will provide coverage for the GARM Framework across all APB defined risk levels (Low - Floor) and includes educational, informative, and scientific content  related to the topic.",Topical,FALSE
8,1506436,Pop Culture - Negative Content,"negativity about pop culture/celebrities, celebrity deaths, and celebrity scandals.",Topical,FALSE
9,1500178,Wellness & Healthy Living - Fitness,"eating disorders, alcoholism, food allergies and negative news around fitness and exercise as rated by the IAS semantic intelligence engine.",Vertical,FALSE
10,1500173,Travel - Senior,negative news or sentiment around senior travels by the IAS semantic intelligence engine.,Vertical,FALSE
11,1500690,Corporate Culture & Labor Relations,"negative news or sentiment around corporate culture, corporate finances, lawsuits, arbitration, workplace discrimination and harassment, layoffs and more, as rated by the IAS semantic intelligence engine",Topical,FALSE
12,1500172,Travel - Luxury,negative news or sentiment around luxury travel as rated by the IAS semantic intelligence engine.,Vertical,FALSE
13,1506279,Pollution - Negative Sentiment,"pollution, including climate change and global warming, when associated with a negative sentiment as rated by the IAS semantic intelligence engine.",Topical,FALSE
